variable,cluster_label,category,observed_count,expected_count,pearson_residual
official_station_id,3,STA_ES1378A,21,3.9025096525096523,8.6548665183772
capture_season,3,autumn,28,6.604247104247104,8.325607183460631
official_station_id,2,STA_ES1621A,37,11.67953667953668,7.408987137156127
official_station_id,3,STA_ES1346A,48,21.613899613899616,5.6755590344431655
official_station_id,2,STA_ES1569A,43,18.687258687258687,5.624204848230725
official_station_id,2,STA_ES0333A,33,15.416988416988417,4.478096923175296
official_station_id,3,STA_ES1747A,5,0.9005791505791506,4.319779323723639
official_station_id,3,STA_ES1442A,3,0.4502895752895753,3.7996615426844493
official_station_id,3,STA_ES1358A,4,0.7504826254826255,3.7510127663595862
official_station_id,1,STA_ES1593A,70,45.607142857142854,3.611987505796402
official_station_id,3,STA_ES1868A,2,16.21042471042471,-3.529472978194237
official_station_id,3,STA_ES0010R,5,1.2007722007722008,3.467089253551245
official_station_id,1,STA_ES1621A,12,30.815637065637066,-3.389482157709394
official_station_id,3,STA_ES1593A,0,11.107142857142858,-3.3327380420823443
official_station_id,3,STA_ES1633A,23,11.857625482625483,3.2357792615990784
official_station_id,2,STA_ES1593A,4,17.285714285714285,-3.19551781725983
official_station_id,2,STA_ES2161A,4,0.9343629343629344,3.1714870134546818
official_station_id,3,STA_ES2051A,5,1.350868725868726,3.139662120238863
station_distance_band,2,under_1km,183,145.2934362934363,3.1281960135053093
official_station_id,3,STA_ES0120A,2,0.3001930501930502,3.1024106582844215
official_station_id,2,STA_ES1580A,8,22.658301158301157,-3.079427385902669
official_station_id,1,STA_ES1378A,4,16.024131274131275,-3.0037685231644873
official_station_id,2,STA_ES1598A,17,8.40926640926641,2.9624511355737475
official_station_id,2,STA_ES2058A,14,6.54054054054054,2.916758935754011
capture_season,2,autumn,1,10.277992277992277,-2.894008905430153
official_station_id,3,STA_ES0905A,4,1.0506756756756757,2.8773201934458683
station_distance_band,2,over_10km,47,71.01158301158301,-2.8494182112335675
official_station_id,1,STA_ES1580A,81,59.782335907335906,2.744170740355426
official_station_id,2,STA_ES2019A,12,5.6061776061776065,2.700394048912259
official_station_id,2,STA_ES1271A,10,4.438223938223938,2.6400301870281098
official_pm25_band,2,moderate,237,199.72007722007723,2.6379353118339366
official_station_id,1,STA_ES0333A,24,40.67664092664093,-2.6147853133871943
official_station_id,3,STA_ES0104A,3,0.7504826254826255,2.5966835740386203
station_distance_band,3,over_10km,63,45.62934362934363,2.5715449394271856
official_station_id,3,STA_ES1662A,0,6.003861003861004,-2.4502777401472273
official_station_id,3,STA_ES1831A,5,13.958976833976834,-2.397903051414446
official_station_id,3,STA_ES1621A,1,7.504826254826255,-2.3744628536262034
capture_season,1,autumn,15,27.117760617760617,-2.3269950398935104
official_station_id,3,STA_ES1174A,0,5.403474903474904,-2.3245375676626314
official_station_id,1,STA_ES1569A,33,49.30501930501931,-2.322072369265149
official_station_id,3,STA_ES1569A,4,12.007722007722007,-2.3108868193761416
official_station_id,2,STA_ES1529A,5,1.8687258687258688,2.2905949101226057
official_station_id,3,STA_ES1818A,4,1.350868725868726,2.279275939424827
official_pm25_band,1,moderate,476,526.9473938223938,-2.2194141083506573
official_pm25_band,2,low,247,284.2799227799228,-2.211067035050643
official_station_id,3,STA_ES0587A,1,0.1500965250965251,2.1937356144983355
official_station_id,3,STA_ES1443A,1,0.1500965250965251,2.1937356144983355
official_station_id,3,STA_ES1976A,1,0.1500965250965251,2.1937356144983355
official_station_id,3,STA_ES2136A,1,0.1500965250965251,2.1937356144983355
official_station_id,2,STA_ES1894A,3,9.81081081081081,-2.174434681178452
official_station_id,1,STA_ES1174A,32,22.187258687258687,2.083236261746109
official_station_id,2,STA_ES1378A,1,6.073359073359073,-2.0586433886540343
official_station_id,3,STA_ES1577A,4,1.500965250965251,2.039797128373367
official_station_id,3,STA_ES2054A,0,4.052606177606178,-2.013108585647127
official_station_id,2,STA_ES1346A,22,33.63706563706564,-2.006478139914444
official_station_id,1,STA_ES1271A,5,11.709942084942085,-1.9608365705328077
official_station_id,2,STA_ES1353A,0,3.7374517374517375,-1.933249010720486
official_station_id,3,STA_ES1244A,13,7.65492277992278,1.9318952594236236
official_station_id,3,STA_ES2103A,26,17.861486486486488,1.9256896192174775
official_station_id,2,STA_ES1417A,6,2.8030888030888033,1.909466943861656
official_station_id,3,STA_ES1882A,0,3.6023166023166024,-1.8979769762345913
official_station_id,3,STA_ES1598A,1,5.403474903474904,-1.8943444772556135
official_station_id,3,STA_ES1894A,11,6.304054054054054,1.8703079720814244
official_pm25_band,1,low,801,750.0526061776062,1.860270549503669
official_station_id,3,STA_ES0041A,4,1.651061776061776,1.828057843630014
official_station_id,2,STA_ES1496A,0,3.27027027027027,-1.8083888603589302
official_station_id,3,STA_ES2015A,2,0.6003861003861004,1.8063126865545636
official_station_id,1,STA_ES2054A,24,16.640444015444015,1.8041355247570587
official_station_id,3,STA_ES1580A,8,14.559362934362934,-1.7190577843373276
official_station_id,1,STA_ES1662A,33,24.652509652509654,1.681223131734858
official_station_id,1,STA_ES1633A,37,48.68870656370656,-1.6751447377211768
official_station_id,2,STA_ES2103A,19,27.7972972972973,-1.6685836466223876
official_station_id,1,STA_ES1353A,15,9.86100386100386,1.6365064712083837
official_station_id,2,STA_ES0041A,0,2.5694980694980694,-1.6029653987214039
official_station_id,2,STA_ES1601A,0,2.5694980694980694,-1.6029653987214039
official_station_id,3,STA_ES2129A,0,2.5516409266409266,-1.5973856536982316
official_station_id,2,STA_ES1137A,1,0.2335907335907336,1.5857435067273409
official_station_id,2,STA_ES1594A,1,0.2335907335907336,1.5857435067273409
official_station_id,2,STA_ES1627A,1,0.2335907335907336,1.5857435067273409
official_station_id,2,STA_ES1741A,1,0.2335907335907336,1.5857435067273409
official_station_id,2,STA_ES2109A,1,0.2335907335907336,1.5857435067273409
official_station_id,2,STA_ES2127A,1,0.2335907335907336,1.5857435067273409
official_station_id,2,STA_ES2150A,1,0.2335907335907336,1.5857435067273409
official_station_id,1,STA_ES2161A,0,2.465250965250965,-1.5701117683945196
official_station_id,1,STA_ES1346A,74,88.74903474903475,-1.5656034861046892
official_station_id,3,STA_ES2058A,1,4.202702702702703,-1.5622563249637358
official_station_id,1,STA_ES1831A,69,57.31708494208494,1.5431536547342923
official_station_id,2,STA_ES1174A,4,8.40926640926641,-1.5205030098090877
official_station_id,2,STA_ES2129A,7,3.971042471042471,1.5199906549450408
official_station_id,2,STA_ES1837A,6,3.27027027027027,1.509481610712826
official_station_id,1,STA_ES1818A,2,5.546814671814672,-1.505971206725571
station_distance_band,2,3_to_10km,165,185.003861003861,-1.4706977639718886
capture_season,1,winter,259,236.66409266409266,1.451902369212771
official_station_id,3,STA_ES1837A,0,2.1013513513513513,-1.4496038601464025
official_station_id,2,STA_ES2063A,1,3.7374517374517375,-1.4159850708686206
official_station_id,1,STA_ES1747A,1,3.697876447876448,-1.4029618399134642
official_station_id,3,STA_ES1611A,0,1.9512548262548262,-1.39687323199166
station_distance_band,3,under_1km,80,93.36003861003861,-1.3826975773669794
official_station_id,1,STA_ES1494A,8,4.93050193050193,1.382362035283932
official_station_id,3,STA_ES2019A,1,3.6023166023166024,-1.371100195050498
official_station_id,2,STA_ES0010R,0,1.8687258687258688,-1.36701348520264
official_station_id,2,STA_ES1494A,0,1.8687258687258688,-1.36701348520264
official_station_id,1,STA_ES1442A,0,1.848938223938224,-1.3597566782105628
official_station_id,1,STA_ES1882A,20,14.791505791505791,1.354272287687487
capture_season,2,winter,77,89.6988416988417,-1.3408206562307403
official_station_id,2,STA_ES2054A,3,6.306949806949807,-1.3167942330253692
official_station_id,2,STA_ES1613A,5,2.8030888030888033,1.3121819940305341
official_station_id,3,STA_ES1578A,9,5.853764478764479,1.3003899591728563
official_station_id,1,STA_ES1687A,7,4.3141891891891895,1.2930812801289957
official_station_id,3,STA_ES1269A,0,1.651061776061776,-1.2849364871703879
official_station_id,2,STA_ES1687A,0,1.635135135135135,-1.278724026182012
capture_season,3,summer,1,0.3001930501930502,1.2772559496060225
official_station_id,1,STA_ES1577A,3,6.163127413127413,-1.274136957145035
capture_season,3,winter,48,57.63706563706564,-1.2693865307292447
station_distance_band,1,under_1km,359,383.3465250965251,-1.2434869133248376
official_station_id,2,STA_ES1712A,2,4.671814671814672,-1.236128237248106
official_station_id,3,STA_ES2158A,0,1.500965250965251,-1.2251388700736137
official_pm25_band,3,moderate,142,128.33252895752895,1.2064790530725593
official_station_id,1,STA_ES1985A,6,3.697876447876448,1.1971606397830454
official_station_id,1,STA_ES0104A,1,3.0815637065637067,-1.185780029438857
official_station_id,1,STA_ES1358A,1,3.0815637065637067,-1.185780029438857
official_station_id,2,STA_ES1258A,0,1.4015444015444016,-1.183868405501389
official_station_id,2,STA_ES1747A,0,1.4015444015444016,-1.183868405501389
official_station_id,2,STA_ES1985A,0,1.4015444015444016,-1.183868405501389
official_station_id,1,STA_ES1163A,27,21.570945945945947,1.1689328684228975
official_station_id,3,STA_ES1090A,4,2.2514478764478763,1.1653265318146668
official_station_id,3,STA_ES1044A,2,0.9005791505791506,1.158518636619078
official_station_id,3,STA_ES0110A,1,3.001930501930502,-1.1554434096880708
official_station_id,2,STA_ES1868A,31,25.227799227799228,1.149216216213034
capture_season,2,spring,406,383.55598455598454,1.1460041153328688
official_station_id,1,STA_ES0905A,2,4.3141891891891895,-1.1141643734444808
official_station_id,2,STA_ES1163A,5,8.175675675675675,-1.1106425686714412
official_station_id,1,STA_ES0120A,0,1.2326254826254825,-1.1102366786525668
official_station_id,3,STA_ES1572A,4,6.904440154440154,-1.105345881768875
official_station_id,2,STA_ES1641A,2,0.9343629343629344,1.1024312540472194
official_station_id,2,STA_ES2075A,2,0.9343629343629344,1.1024312540472194
official_station_id,3,STA_ES1494A,0,1.2007722007722008,-1.0957975181447532
official_station_id,3,STA_ES1529A,0,1.2007722007722008,-1.0957975181447532
official_station_id,2,STA_ES1387A,20,25.461389961389962,-1.082336073595137
official_station_id,1,STA_ES2051A,3,5.546814671814672,-1.0813729837924668
official_station_id,2,STA_ES1038A,0,1.167953667953668,-1.0807190513513065
official_station_id,2,STA_ES1358A,0,1.167953667953668,-1.0807190513513065
official_station_id,2,STA_ES2125A,0,1.167953667953668,-1.0807190513513065
official_station_id,1,STA_ES1611A,11,8.012065637065637,1.0555985954570222
official_station_id,3,STA_ES1601A,3,1.651061776061776,1.0498092609299134
official_station_id,1,STA_ES1712A,16,12.326254826254827,1.0463897036967977
station_distance_band,1,3_to_10km,511,488.11969111969114,1.0356159227881947
official_station_id,1,STA_ES1868A,75,66.56177606177606,1.0342811172815405
official_station_id,3,STA_ES2063A,4,2.4015444015444016,1.0314668306670198
official_station_id,2,STA_ES1578A,6,9.11003861003861,-1.0303995773465824
official_station_id,3,STA_ES1687A,0,1.0506756756756757,-1.025024719543717
official_station_id,1,STA_ES2058A,13,17.256756756756758,-1.0247059201022235
official_pm25_band,3,low,169,182.66747104247105,-1.0112477173950427
official_station_id,1,STA_ES2019A,11,14.791505791505791,-0.9858379440393716
official_station_id,3,STA_ES1163A,3,5.253378378378378,-0.9831386769531262
official_station_id,2,STA_ES2015A,0,0.9343629343629344,-0.966624505360243
official_station_id,3,STA_ES1985A,0,0.9005791505791506,-0.9489884881172956
official_station_id,1,STA_ES1641A,1,2.465250965250965,-0.9332144339948631
official_station_id,1,STA_ES2075A,1,2.465250965250965,-0.9332144339948631
official_station_id,3,STA_ES1353A,1,2.4015444015444016,-0.9044020761645609
official_station_id,2,STA_ES1269A,4,2.5694980694980694,0.8924097373798351
official_station_id,1,STA_ES1598A,18,22.187258687258687,-0.8889512987856207
official_station_id,1,STA_ES1044A,2,3.697876447876448,-0.8829373439741622
official_station_id,1,STA_ES1417A,5,7.395752895752896,-0.8809491191121421
official_station_id,1,STA_ES1572A,33,28.3503861003861,0.8732476025258558
official_station_id,1,STA_ES0010R,3,4.93050193050193,-0.8694100850842338
official_station_id,1,STA_ES1529A,3,4.93050193050193,-0.8694100850842338
official_station_id,1,STA_ES1532A,3,4.93050193050193,-0.8694100850842338
official_station_id,3,STA_ES2128A,0,0.7504826254826255,-0.8663040029242769
official_station_id,1,STA_ES1037A,3,1.848938223938224,0.8465204065602172
official_station_id,1,STA_ES1160A,3,1.848938223938224,0.8465204065602172
official_station_id,1,STA_ES2005A,3,1.848938223938224,0.8465204065602172
official_station_id,2,STA_ES1037A,0,0.7007722007722008,-0.8371213775625377
official_station_id,2,STA_ES1160A,0,0.7007722007722008,-0.8371213775625377
official_station_id,2,STA_ES1442A,0,0.7007722007722008,-0.8371213775625377
official_station_id,2,STA_ES2005A,0,0.7007722007722008,-0.8371213775625377
official_station_id,2,STA_ES2170A,0,0.7007722007722008,-0.8371213775625377
official_station_id,2,STA_ES1532A,3,1.8687258687258688,0.8275515519925073
official_station_id,3,STA_ES2170A,1,0.4502895752895753,0.8191963840843438
official_station_id,1,STA_ES1496A,11,8.628378378378379,0.8073852482350002
capture_season,3,spring,234,246.45849420849422,-0.7935853817219559
official_station_id,1,STA_ES1244A,27,31.431949806949806,-0.7905132835771768
official_station_id,1,STA_ES0587A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES1137A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES1443A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES1594A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES1627A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES1741A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES1976A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES2109A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES2127A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES2136A,0,0.6163127413127413,-0.7850558841972598
official_station_id,1,STA_ES2150A,0,0.6163127413127413,-0.7850558841972598
official_station_id,2,STA_ES0825A,1,0.4671814671814672,0.7795366155287783
official_station_id,2,STA_ES1492A,1,0.4671814671814672,0.7795366155287783
official_station_id,3,STA_ES1941A,0,0.6003861003861004,-0.774845855887544
official_station_id,3,STA_ES2161A,0,0.6003861003861004,-0.774845855887544
official_station_id,3,STA_ES2173A,0,0.6003861003861004,-0.774845855887544
official_station_id,2,STA_ES1662A,7,9.343629343629344,-0.7667099971060776
official_station_id,2,STA_ES2051A,1,2.1023166023166024,-0.7602515049045439
official_station_id,1,STA_ES2158A,8,6.163127413127413,0.7399092552477878
official_station_id,1,STA_ES1090A,7,9.24469111969112,-0.7382617805892784
official_station_id,3,STA_ES1532A,2,1.2007722007722008,0.729357190533646
official_station_id,1,STA_ES1387A,73,67.1780888030888,0.7103162573358556
station_distance_band,2,1_to_3km,89,82.6911196911197,0.6937817185632519
official_station_id,1,STA_ES1564A,2,1.2326254826254825,0.691181017641966
official_station_id,1,STA_ES1797A,2,1.2326254826254825,0.691181017641966
official_station_id,1,STA_ES2131A,2,1.2326254826254825,0.691181017641966
official_station_id,2,STA_ES0120A,0,0.4671814671814672,-0.68350674260132
official_station_id,2,STA_ES1564A,0,0.4671814671814672,-0.68350674260132
official_station_id,2,STA_ES1797A,0,0.4671814671814672,-0.68350674260132
official_station_id,2,STA_ES2131A,0,0.4671814671814672,-0.68350674260132
capture_season,2,summer,0,0.4671814671814672,-0.68350674260132
official_station_id,3,STA_ES1271A,4,2.851833976833977,0.6798961336849605
official_station_id,2,STA_ES1882A,4,5.6061776061776065,-0.6783598576977657
official_station_id,1,STA_ES1258A,5,3.697876447876448,0.6771361438437435
official_station_id,3,STA_ES1037A,0,0.4502895752895753,-0.6710361952157091
official_station_id,3,STA_ES1160A,0,0.4502895752895753,-0.6710361952157091
official_station_id,3,STA_ES1834A,0,0.4502895752895753,-0.6710361952157091
official_station_id,3,STA_ES1918A,0,0.4502895752895753,-0.6710361952157091
official_station_id,3,STA_ES2005A,0,0.4502895752895753,-0.6710361952157091
official_station_id,2,STA_ES1673A,1,1.8687258687258688,-0.6354918061375909
official_station_id,3,STA_ES1496A,3,2.1013513513513513,0.6199270527314198
official_station_id,2,STA_ES1818A,3,2.1023166023166024,0.6191190013670977
official_station_id,3,STA_ES1417A,1,1.8011583011583012,-0.5969561007813918
official_station_id,3,STA_ES1613A,1,1.8011583011583012,-0.5969561007813918
official_station_id,2,STA_ES1611A,2,3.0366795366795367,-0.5949014733539262
official_station_id,2,STA_ES1831A,19,21.723938223938223,-0.5844239085581742
official_station_id,3,STA_ES1712A,2,3.001930501930502,-0.578278813527588
official_station_id,3,STA_ES0825A,0,0.3001930501930502,-0.5478987590723766
official_station_id,3,STA_ES1492A,0,0.3001930501930502,-0.5478987590723766
official_station_id,3,STA_ES1564A,0,0.3001930501930502,-0.5478987590723766
official_station_id,3,STA_ES1797A,0,0.3001930501930502,-0.5478987590723766
official_station_id,3,STA_ES2131A,0,0.3001930501930502,-0.5478987590723766
official_station_id,2,STA_ES1572A,9,10.745173745173744,-0.5323925255188715
official_station_id,1,STA_ES1038A,4,3.0815637065637067,0.5231948518483989
official_station_id,1,STA_ES2125A,4,3.0815637065637067,0.5231948518483989
official_station_id,1,STA_ES2128A,4,3.0815637065637067,0.5231948518483989
official_station_id,3,STA_ES1641A,1,0.6003861003861004,0.5157334153335099
official_station_id,3,STA_ES1963A,1,0.6003861003861004,0.5157334153335099
official_station_id,3,STA_ES2075A,1,0.6003861003861004,0.5157334153335099
official_station_id,1,STA_ES1613A,6,7.395752895752896,-0.5132362716503456
official_station_id,2,STA_ES1044A,2,1.4015444015444016,0.5055085478036233
official_station_id,3,STA_ES1836A,10,11.707528957528957,-0.49904011463862097
official_station_id,2,STA_ES0805A,1,1.635135135135135,-0.4966944564508642
official_station_id,2,STA_ES0905A,1,1.635135135135135,-0.4966944564508642
official_station_id,1,STA_ES0824A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES1175A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES1363A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES1490A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES1624A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES1709A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES1713A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES2006A,1,0.6163127413127413,0.48873878460205294
official_station_id,1,STA_ES2024A,1,0.6163127413127413,0.48873878460205294
station_distance_band,1,over_10km,194,187.35907335907336,0.4851670720443684
official_station_id,2,STA_ES0587A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES0824A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1175A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1363A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1443A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1490A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1624A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1709A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1713A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES1976A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES2006A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES2024A,0,0.2335907335907336,-0.4833122526801215
official_station_id,2,STA_ES2136A,0,0.2335907335907336,-0.4833122526801215
official_station_id,1,STA_ES1673A,6,4.93050193050193,0.4816531871366658
official_station_id,1,STA_ES0110A,14,12.326254826254827,0.4767314099343792
official_station_id,1,STA_ES1601A,8,6.779440154440154,0.46877253910233313
official_station_id,2,STA_ES1577A,3,2.335907335907336,0.43451110214907857
official_station_id,2,STA_ES2132A,3,2.335907335907336,0.43451110214907857
official_station_id,1,STA_ES1894A,28,25.885135135135137,0.4156783484266944
official_station_id,3,STA_ES2132A,1,1.500965250965251,-0.40890487046186846
official_station_id,1,STA_ES1268A,40,37.59507722007722,0.392225337608563
official_station_id,3,STA_ES0824A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1137A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1175A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1363A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1490A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1594A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1624A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1627A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1709A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1713A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1741A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES2006A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES2024A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES2109A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES2127A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES2150A,0,0.1500965250965251,-0.387422927943772
official_station_id,3,STA_ES1268A,8,9.15588803088803,-0.38200190632022063
official_station_id,1,STA_ES2063A,11,9.86100386100386,0.3627118024090709
official_station_id,2,STA_ES1834A,1,0.7007722007722008,0.3574485220997061
official_station_id,2,STA_ES1918A,1,0.7007722007722008,0.3574485220997061
station_distance_band,1,1_to_3km,213,218.1747104247104,-0.35033525838102797
official_station_id,1,STA_ES1941A,3,2.465250965250965,0.34058023480444954
official_station_id,1,STA_ES2173A,3,2.465250965250965,0.34058023480444954
official_station_id,2,STA_ES1268A,13,14.249034749034749,-0.330888594914272
official_station_id,1,STA_ES0805A,5,4.3141891891891895,0.3301830186996051
capture_season,1,spring,1002,1011.9855212355212,-0.31389441613331454
official_station_id,1,STA_ES1963A,2,2.465250965250965,-0.2963170995952068
official_station_id,1,STA_ES2015A,2,2.465250965250965,-0.2963170995952068
official_station_id,3,STA_ES1038A,1,0.7504826254826255,0.28802518939668886
official_station_id,3,STA_ES2125A,1,0.7504826254826255,0.28802518939668886
official_station_id,3,STA_ES0333A,9,9.906370656370656,-0.2879708644625508
official_pm10_band,3,moderate,84,86.60569498069498,-0.2799950482431755
official_pm10_band,2,moderate,138,134.78185328185327,0.27719802280460004
official_station_id,2,STA_ES1090A,4,3.503861003861004,0.2650512939678027
official_station_id,2,STA_ES1244A,11,11.913127413127413,-0.2645565312470139
station_distance_band,3,3_to_10km,116,118.87644787644787,-0.26382053632925623
official_station_id,2,STA_ES2158A,2,2.335907335907336,-0.21978177841261531
official_station_id,1,STA_ES1837A,8,8.628378378378379,-0.21392258713918835
official_station_id,1,STA_ES0825A,1,1.2326254826254825,-0.20952783050530033
official_station_id,1,STA_ES1492A,1,1.2326254826254825,-0.20952783050530033
capture_season,1,summer,1,1.2326254826254825,-0.20952783050530033
official_station_id,3,STA_ES1673A,1,1.2007722007722008,-0.18322016380555364
official_station_id,2,STA_ES1836A,19,18.22007722007722,0.18271596617213107
official_pm10_band,3,low,227,224.39430501930502,0.1739472876032766
official_pm10_band,2,low,346,349.2181467181467,-0.17220963191454094
station_distance_band,3,1_to_3km,52,53.134169884169886,-0.1555933964807739
official_station_id,2,STA_ES0104A,1,1.167953667953668,-0.15540918589679945
official_station_id,2,STA_ES2128A,1,1.167953667953668,-0.15540918589679945
official_station_id,2,STA_ES0110A,5,4.671814671814672,0.15183656093365464
official_station_id,1,STA_ES2129A,10,10.477316602316602,-0.14746247090606793
official_station_id,1,STA_ES1836A,49,48.07239382239382,0.13378756758292396
official_station_id,2,STA_ES1633A,19,18.453667953667953,0.12717897628454297
official_station_id,1,STA_ES1834A,2,1.848938223938224,0.11109471163662389
official_station_id,1,STA_ES1918A,2,1.848938223938224,0.11109471163662389
official_station_id,1,STA_ES2170A,2,1.848938223938224,0.11109471163662389
official_station_id,3,STA_ES1258A,1,0.9005791505791506,0.10476507425089113
official_station_id,3,STA_ES1387A,16,16.360521235521237,-0.08913171907388065
official_station_id,1,STA_ES0041A,7,6.779440154440154,0.08470899579666527
official_station_id,1,STA_ES1269A,7,6.779440154440154,0.08470899579666527
official_station_id,1,STA_ES2103A,74,73.34121621621621,0.07692523763179838
official_station_id,2,STA_ES1941A,1,0.9343629343629344,0.06790337434348813
official_station_id,2,STA_ES1963A,1,0.9343629343629344,0.06790337434348813
official_station_id,2,STA_ES2173A,1,0.9343629343629344,0.06790337434348813
official_station_id,1,STA_ES2132A,6,6.163127413127413,-0.06570922970934125
official_station_id,3,STA_ES0805A,1,1.0506756756756757,-0.04943849129632074
official_pm10_band,1,moderate,355,355.61245173745175,-0.03247755981869908
official_pm10_band,1,low,922,921.3875482625483,0.020176726245275802
official_station_id,1,STA_ES1578A,24,24.03619691119691,-0.007383098044459138
